#program	SETUP.EXE
#sha256	22ca3a4c6a68dbde1838e6d356442b2b6bcf1dcff735ed21b0448bd16686c4d6
#imagebase	400000
FUNC	117c	_GL_FileRelatifMoveIn@8	undefined _GL_FileRelatifMoveIn@8(HANDLE param_1, LONG param_2)	
FUNC	1181	_GL_TestIfDdraw@0	undefined4 _GL_TestIfDdraw@0(void)	
FUNC	1186	_GL_ResetAllScreen@0	undefined _GL_ResetAllScreen@0(void)	
FUNC	118b	_GL_SaveTga@8	undefined4 _GL_SaveTga@8(uint * param_1, LPCVOID param_2)	
FUNC	1195	_GL_SetHwnd@4	undefined _GL_SetHwnd@4(undefined4 param_1)	
FUNC	119f	_GL_ViewEcran@0	undefined _GL_ViewEcran@0(void)	
FUNC	11a4	_GL_GetMessages@0	WPARAM _GL_GetMessages@0(void)	
FUNC	11b3	_GL_ClsLogicalScreen@0	undefined _GL_ClsLogicalScreen@0(void)	
FUNC	11b8	_GL_GetTime@0	ulonglong _GL_GetTime@0(void)	
FUNC	11bd	_GL_FreeDirectSoundAdr@4	undefined _GL_FreeDirectSoundAdr@4(void)	
FUNC	11c7	_GL_SetGraphColor@12	undefined _GL_SetGraphColor@12(uint param_1, uint param_2, uint param_3)	
FUNC	11cc	_GL_TestIfExeRunning@4	int _GL_TestIfExeRunning@4(uint * param_1)	
FUNC	11d1	_GL_RestoreSurfaces@0	undefined4 _GL_RestoreSurfaces@0(void)	
FUNC	11d6	_GL_AdjustFreqSoundHnm@8	undefined _GL_AdjustFreqSoundHnm@8(int param_1, int param_2)	
FUNC	11db	_GL_PlayMusic@16	undefined _GL_PlayMusic@16(uint * param_1, int param_2, int param_3, undefined4 param_4)	
FUNC	11ea	_GL_HNM6_Init_All_16@0	undefined _GL_HNM6_Init_All_16@0(void)	
FUNC	11ef	_GL_StopHnmSound@0	undefined _GL_StopHnmSound@0(void)	
FUNC	11f9	_GL_HNM6_Init_All_15@0	undefined _GL_HNM6_Init_All_15@0(void)	
FUNC	11fe	_GL_OpenHnm@8	undefined4 * _GL_OpenHnm@8(undefined4 * param_1, uint * param_2, int param_3)	
FUNC	1208	_GL_LoadTga@8	undefined4 _GL_LoadTga@8(uint * param_1, byte * param_2)	
FUNC	120d	_GL_WaitForAppActive@0	undefined _GL_WaitForAppActive@0(void)	
FUNC	1212	_GL_SetFilePointer@16	DWORD _GL_SetFilePointer@16(HANDLE param_1, int param_2, undefined4 param_3, DWORD param_4)	
FUNC	1217	_GL_ReadFile@20	undefined4 _GL_ReadFile@20(HANDLE param_1, byte * param_2, DWORD param_3, int * param_4)	
FUNC	1221	_GL_FlipToGDI@0	undefined _GL_FlipToGDI@0(void)	
FUNC	1230	_GL_SetDirectSoundVolume@8	undefined _GL_SetDirectSoundVolume@8(void)	
FUNC	1235	_GL_PBox@16	undefined4 _GL_PBox@16(int param_1, int param_2, int param_3, int param_4)	
